Date,StoreID,ProductID,StockLevel,delivery_units,WasteQty,StockoutFlag
2025-09-22,S001,SKU_BER01,60,44,6,0
2025-09-22,S001,SKU_BER02,60,45,5,0
2025-09-22,S001,SKU_BER03,68,45,5,0
2025-09-22,S001,SKU_BER04,72,45,5,0
2025-09-22,S001,SKU_LEA01,73,54,6,0
2025-09-22,S001,SKU_LEA02,86,60,6,0
2025-09-22,S001,SKU_LEA03,72,55,6,0
2025-09-22,S001,SKU_LEA04,75,57,7,0
2025-09-22,S001,SKU_BAN01,115,75,6,0
2025-09-22,S001,SKU_BAN02,106,75,4,0
2025-09-22,S001,SKU_BAN03,110,76,6,0
2025-09-22,S001,SKU_BAN04,103,75,5,0
2025-09-22,S001,SKU_CIT01,54,36,0,0
2025-09-22,S001,SKU_CIT02,49,37,0,0
2025-09-22,S001,SKU_CIT03,59,38,1,0
2025-09-22,S001,SKU_CIT04,56,37,1,0
2025-09-22,S001,SKU_TOM01,92,65,3,0
2025-09-22,S001,SKU_TOM02,100,71,5,0
2025-09-22,S001,SKU_TOM03,101,72,4,0
2025-09-22,S001,SKU_TOM04,98,71,6,0
2025-09-22,S001,SKU_ROO01,83,58,1,0
2025-09-22,S001,SKU_ROO02,88,61,1,0
2025-09-22,S001,SKU_ROO03,84,60,1,0
2025-09-22,S001,SKU_ROO04,90,62,1,0
2025-09-22,S002,SKU_BER01,68,47,5,0
2025-09-22,S002,SKU_BER02,65,44,6,0
2025-09-22,S002,SKU_BER03,66,44,4,0
2025-09-22,S002,SKU_BER04,62,44,4,0
2025-09-22,S002,SKU_LEA01,73,56,7,0
2025-09-22,S002,SKU_LEA02,90,58,8,0
2025-09-22,S002,SKU_LEA03,78,54,7,0
2025-09-22,S002,SKU_LEA04,81,55,8,0
2025-09-22,S002,SKU_BAN01,112,77,6,0
2025-09-22,S002,SKU_BAN02,113,77,4,0
2025-09-22,S002,SKU_BAN03,113,78,5,0
2025-09-22,S002,SKU_BAN04,107,72,6,0
2025-09-22,S002,SKU_CIT01,57,36,1,0
2025-09-22,S002,SKU_CIT02,56,37,1,0
2025-09-22,S002,SKU_CIT03,59,39,0,0
2025-09-22,S002,SKU_CIT04,58,37,1,0
2025-09-22,S002,SKU_TOM01,102,66,4,0
2025-09-22,S002,SKU_TOM02,90,67,5,0
2025-09-22,S002,SKU_TOM03,111,69,4,0
2025-09-22,S002,SKU_TOM04,103,69,6,0
2025-09-22,S002,SKU_ROO01,98,63,1,0
2025-09-22,S002,SKU_ROO02,82,58,1,0
2025-09-22,S002,SKU_ROO03,95,62,1,0
2025-09-22,S002,SKU_ROO04,93,60,2,0
2025-09-22,S003,SKU_BER01,64,45,4,0
2025-09-22,S003,SKU_BER02,67,46,6,0
2025-09-22,S003,SKU_BER03,63,46,5,0
2025-09-22,S003,SKU_BER04,64,46,6,0
2025-09-22,S003,SKU_LEA01,76,55,6,0
2025-09-22,S003,SKU_LEA02,81,59,7,0
2025-09-22,S003,SKU_LEA03,78,58,6,0
2025-09-22,S003,SKU_LEA04,85,59,5,0
2025-09-22,S003,SKU_BAN01,102,75,5,0
2025-09-22,S003,SKU_BAN02,104,77,5,0
2025-09-22,S003,SKU_BAN03,108,74,4,0
2025-09-22,S003,SKU_BAN04,102,72,4,0
2025-09-22,S003,SKU_CIT01,54,39,0,0
2025-09-22,S003,SKU_CIT02,54,38,0,0
2025-09-22,S003,SKU_CIT03,66,38,1,0
2025-09-22,S003,SKU_CIT04,60,38,1,0
2025-09-22,S003,SKU_TOM01,95,64,4,0
2025-09-22,S003,SKU_TOM02,105,73,5,0
2025-09-22,S003,SKU_TOM03,105,71,5,0
2025-09-22,S003,SKU_TOM04,105,69,6,0
2025-09-22,S003,SKU_ROO01,90,58,1,0
2025-09-22,S003,SKU_ROO02,92,58,1,0
2025-09-22,S003,SKU_ROO03,85,59,1,0
2025-09-22,S003,SKU_ROO04,95,62,2,0
2025-09-22,S004,SKU_BER01,65,48,6,0
2025-09-22,S004,SKU_BER02,68,46,5,0
2025-09-22,S004,SKU_BER03,60,46,6,0
2025-09-22,S004,SKU_BER04,73,47,5,0
2025-09-22,S004,SKU_LEA01,90,57,8,0
2025-09-22,S004,SKU_LEA02,79,56,6,0
2025-09-22,S004,SKU_LEA03,90,57,8,0
2025-09-22,S004,SKU_LEA04,73,54,7,0
2025-09-22,S004,SKU_BAN01,111,78,6,0
2025-09-22,S004,SKU_BAN02,109,77,6,0
2025-09-22,S004,SKU_BAN03,106,79,6,0
2025-09-22,S004,SKU_BAN04,108,77,6,0
2025-09-22,S004,SKU_CIT01,58,39,1,0
2025-09-22,S004,SKU_CIT02,58,39,1,0
2025-09-22,S004,SKU_CIT03,57,37,1,0
2025-09-22,S004,SKU_CIT04,62,40,1,0
2025-09-22,S004,SKU_TOM01,97,70,5,0
2025-09-22,S004,SKU_TOM02,107,73,6,0
2025-09-22,S004,SKU_TOM03,93,67,5,0
2025-09-22,S004,SKU_TOM04,108,71,6,0
2025-09-22,S004,SKU_ROO01,104,61,1,0
2025-09-22,S004,SKU_ROO02,89,56,2,0
2025-09-22,S004,SKU_ROO03,93,62,2,0
2025-09-22,S004,SKU_ROO04,95,65,2,0
2025-09-22,S005,SKU_BER01,67,47,6,0
2025-09-22,S005,SKU_BER02,58,45,4,0
2025-09-22,S005,SKU_BER03,61,45,5,0
2025-09-22,S005,SKU_BER04,71,46,6,0
2025-09-22,S005,SKU_LEA01,79,55,5,0
2025-09-22,S005,SKU_LEA02,81,58,8,0
2025-09-22,S005,SKU_LEA03,86,57,8,0
2025-09-22,S005,SKU_LEA04,84,56,6,0
2025-09-22,S005,SKU_BAN01,117,77,5,0
2025-09-22,S005,SKU_BAN02,121,75,5,0
2025-09-22,S005,SKU_BAN03,106,75,6,0
2025-09-22,S005,SKU_BAN04,107,77,5,0
2025-09-22,S005,SKU_CIT01,55,36,0,0
2025-09-22,S005,SKU_CIT02,63,39,1,0
2025-09-22,S005,SKU_CIT03,59,37,1,0
2025-09-22,S005,SKU_CIT04,62,39,1,0
2025-09-22,S005,SKU_TOM01,105,68,4,0
2025-09-22,S005,SKU_TOM02,98,69,4,0
2025-09-22,S005,SKU_TOM03,98,71,5,0
2025-09-22,S005,SKU_TOM04,100,72,4,0
2025-09-22,S005,SKU_ROO01,94,60,2,0
2025-09-22,S005,SKU_ROO02,91,61,1,0
2025-09-22,S005,SKU_ROO03,86,63,1,0
2025-09-22,S005,SKU_ROO04,93,62,1,0
2025-09-22,S006,SKU_BER01,67,47,4,0
2025-09-22,S006,SKU_BER02,63,44,4,0
2025-09-22,S006,SKU_BER03,62,43,5,0
2025-09-22,S006,SKU_BER04,56,43,4,0
2025-09-22,S006,SKU_LEA01,85,57,6,0
2025-09-22,S006,SKU_LEA02,82,59,8,0
2025-09-22,S006,SKU_LEA03,80,55,5,0
2025-09-22,S006,SKU_LEA04,78,54,6,0
2025-09-22,S006,SKU_BAN01,113,76,6,0
2025-09-22,S006,SKU_BAN02,111,75,6,0
2025-09-22,S006,SKU_BAN03,117,77,6,0
2025-09-22,S006,SKU_BAN04,103,75,4,0
2025-09-22,S006,SKU_CIT01,57,36,1,0
2025-09-22,S006,SKU_CIT02,58,37,1,0
2025-09-22,S006,SKU_CIT03,54,37,1,0
2025-09-22,S006,SKU_CIT04,54,40,0,0
2025-09-22,S006,SKU_TOM01,93,64,4,0
2025-09-22,S006,SKU_TOM02,110,72,6,0
2025-09-22,S006,SKU_TOM03,107,73,5,0
2025-09-22,S006,SKU_TOM04,96,69,5,0
2025-09-22,S006,SKU_ROO01,86,62,1,0
2025-09-22,S006,SKU_ROO02,94,58,2,0
2025-09-22,S006,SKU_ROO03,91,63,1,0
2025-09-22,S006,SKU_ROO04,91,61,1,0
2025-09-22,S007,SKU_BER01,62,45,5,0
2025-09-22,S007,SKU_BER02,67,45,4,0
2025-09-22,S007,SKU_BER03,67,45,6,0
