Date,StoreID,ProductID,QuantitySold,SalesPrice,HasPromotion,Category,ShelfLife,UnitPrice,Region,Size,FootfallCategory,Temperature,Rainfall,IsUnseasonablyWarm,CompetitorPriceIndex,PromoIntensity,DiscountPct,ExpectedUplift,DayOfWeek,IsWeekend,Month,Week,DayOfMonth,Lag7_Sales,Lag14_Sales,RollingMean7
2025-09-22,S001,SKU_BAN01,19,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,14.5,0.3,0,1.0,0.0,0.0,0.0,0,0,9,39,22,,,19.0
2025-09-23,S001,SKU_BAN01,19,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,20.1,2.1,0,1.0,0.0,0.0,0.0,1,0,9,39,23,,,19.0
2025-09-24,S001,SKU_BAN01,19,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,15.0,2.0,0,1.0,0.0,0.0,0.0,2,0,9,39,24,,,19.0
2025-09-25,S001,SKU_BAN01,24,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,15.4,1.8,0,1.0,0.0,0.0,0.0,3,0,9,39,25,,,20.25
2025-09-26,S001,SKU_BAN01,21,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,13.9,1.2,0,1.0,0.0,0.0,0.0,4,0,9,39,26,,,20.4
2025-09-27,S001,SKU_BAN01,21,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,14.9,2.2,0,1.0,0.0,0.0,0.0,5,1,9,39,27,,,20.5
2025-09-28,S001,SKU_BAN01,14,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,13.6,3.2,0,1.0,0.0,0.0,0.0,6,1,9,39,28,,,19.571428571428573
2025-09-29,S001,SKU_BAN01,14,0.99,1,Bananas,7,1.168545070800544,North West,Extra,Medium,14.5,4.3,0,1.0,0.0,0.15,1.3,0,0,9,40,29,19.0,,18.857142857142858
2025-09-30,S001,SKU_BAN01,19,0.99,1,Bananas,7,1.168545070800544,North West,Extra,Medium,9.7,3.6,0,1.0,0.0,0.15,1.3,1,0,9,40,30,19.0,,18.857142857142858
2025-10-01,S001,SKU_BAN01,14,0.99,1,Bananas,7,1.168545070800544,North West,Extra,Medium,17.5,0.0,0,1.0,0.0,0.15,1.3,2,0,10,40,1,19.0,,18.142857142857142
2025-10-02,S001,SKU_BAN01,19,0.99,1,Bananas,7,1.168545070800544,North West,Extra,Medium,14.3,1.4,0,1.0,0.0,0.15,1.3,3,0,10,40,2,24.0,,17.428571428571427
2025-10-03,S001,SKU_BAN01,23,0.99,1,Bananas,7,1.168545070800544,North West,Extra,Medium,12.2,0.8,0,1.0,0.0,0.15,1.3,4,0,10,40,3,21.0,,17.714285714285715
2025-10-04,S001,SKU_BAN01,18,0.99,1,Bananas,7,1.168545070800544,North West,Extra,Medium,12.8,5.6,0,1.0,0.0,0.15,1.3,5,1,10,40,4,21.0,,17.285714285714285
2025-10-05,S001,SKU_BAN01,19,0.99,1,Bananas,7,1.168545070800544,North West,Extra,Medium,16.9,4.9,0,1.0,0.0,0.15,1.3,6,1,10,40,5,14.0,,18.0
2025-10-06,S001,SKU_BAN01,18,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,16.4,0.3,0,1.0,0.0,0.0,0.0,0,0,10,41,6,14.0,19.0,18.571428571428573
2025-10-07,S001,SKU_BAN01,16,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,14.0,2.7,0,1.0,0.0,0.0,0.0,1,0,10,41,7,19.0,19.0,18.142857142857142
2025-10-08,S001,SKU_BAN01,21,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,12.6,3.1,0,1.0,0.0,0.0,0.0,2,0,10,41,8,14.0,19.0,19.142857142857142
2025-10-09,S001,SKU_BAN01,20,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,14.5,1.4,0,1.0,0.0,0.0,0.0,3,0,10,41,9,19.0,24.0,19.285714285714285
2025-10-10,S001,SKU_BAN01,25,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,16.4,2.7,0,1.0,0.0,0.0,0.0,4,0,10,41,10,23.0,21.0,19.571428571428573
2025-10-11,S001,SKU_BAN01,22,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,14.3,4.7,0,1.0,0.0,0.0,0.0,5,1,10,41,11,18.0,21.0,20.142857142857142
2025-10-12,S001,SKU_BAN01,21,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,12.8,3.9,0,1.0,0.0,0.0,0.0,6,1,10,41,12,19.0,14.0,20.428571428571427
2025-10-13,S001,SKU_BAN01,23,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,16.2,1.5,0,1.0,0.0,0.0,0.0,0,0,10,42,13,18.0,14.0,21.142857142857142
2025-10-14,S001,SKU_BAN01,25,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,15.7,0.1,0,1.0,0.0,0.0,0.0,1,0,10,42,14,16.0,19.0,22.428571428571427
2025-10-15,S001,SKU_BAN01,21,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,16.8,1.7,0,1.0,0.0,0.0,0.0,2,0,10,42,15,21.0,14.0,22.428571428571427
2025-10-16,S001,SKU_BAN01,12,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,14.0,3.6,0,1.0,0.0,0.0,0.0,3,0,10,42,16,20.0,19.0,21.285714285714285
2025-10-17,S001,SKU_BAN01,15,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,13.6,0.0,0,1.0,0.0,0.0,0.0,4,0,10,42,17,25.0,23.0,19.857142857142858
2025-10-18,S001,SKU_BAN01,15,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,11.9,3.9,0,1.0,0.0,0.0,0.0,5,1,10,42,18,22.0,18.0,18.857142857142858
2025-10-19,S001,SKU_BAN01,19,1.17,0,Bananas,7,1.168545070800544,North West,Extra,Medium,12.4,5.6,0,1.0,0.0,0.0,0.0,6,1,10,42,19,21.0,19.0,18.571428571428573
2025-09-22,S001,SKU_BAN02,22,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,14.5,0.3,0,1.0,0.0,0.0,0.0,0,0,9,39,22,,,22.0
2025-09-23,S001,SKU_BAN02,13,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,20.1,2.1,0,1.0,0.0,0.0,0.0,1,0,9,39,23,,,17.5
2025-09-24,S001,SKU_BAN02,15,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,15.0,2.0,0,1.0,0.0,0.0,0.0,2,0,9,39,24,,,16.666666666666668
2025-09-25,S001,SKU_BAN02,24,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,15.4,1.8,0,1.0,0.0,0.0,0.0,3,0,9,39,25,,,18.5
2025-09-26,S001,SKU_BAN02,15,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,13.9,1.2,0,1.0,0.0,0.0,0.0,4,0,9,39,26,,,17.8
2025-09-27,S001,SKU_BAN02,33,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,14.9,2.2,0,1.0,0.0,0.0,0.0,5,1,9,39,27,,,20.333333333333332
2025-09-28,S001,SKU_BAN02,15,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,13.6,3.2,0,1.0,0.0,0.0,0.0,6,1,9,39,28,,,19.571428571428573
2025-09-29,S001,SKU_BAN02,16,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,14.5,4.3,0,1.0,0.0,0.0,0.0,0,0,9,40,29,22.0,,18.714285714285715
2025-09-30,S001,SKU_BAN02,21,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,9.7,3.6,0,1.0,0.0,0.0,0.0,1,0,9,40,30,13.0,,19.857142857142858
2025-10-01,S001,SKU_BAN02,16,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,17.5,0.0,0,1.0,0.0,0.0,0.0,2,0,10,40,1,15.0,,20.0
2025-10-02,S001,SKU_BAN02,16,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,14.3,1.4,0,1.0,0.0,0.0,0.0,3,0,10,40,2,24.0,,18.857142857142858
2025-10-03,S001,SKU_BAN02,17,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,12.2,0.8,0,1.0,0.0,0.0,0.0,4,0,10,40,3,15.0,,19.142857142857142
2025-10-04,S001,SKU_BAN02,17,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,12.8,5.6,0,1.0,0.0,0.0,0.0,5,1,10,40,4,33.0,,16.857142857142858
2025-10-05,S001,SKU_BAN02,14,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,16.9,4.9,0,1.0,0.0,0.0,0.0,6,1,10,40,5,15.0,,16.714285714285715
2025-10-06,S001,SKU_BAN02,18,0.92,1,Bananas,7,1.229369993643326,North West,Extra,Medium,16.4,0.3,0,1.0,0.0,0.25,1.3,0,0,10,41,6,16.0,22.0,17.0
2025-10-07,S001,SKU_BAN02,24,0.92,1,Bananas,7,1.229369993643326,North West,Extra,Medium,14.0,2.7,0,1.0,0.0,0.25,1.3,1,0,10,41,7,21.0,13.0,17.428571428571427
2025-10-08,S001,SKU_BAN02,20,0.92,1,Bananas,7,1.229369993643326,North West,Extra,Medium,12.6,3.1,0,1.0,0.0,0.25,1.3,2,0,10,41,8,16.0,15.0,18.0
2025-10-09,S001,SKU_BAN02,12,0.92,1,Bananas,7,1.229369993643326,North West,Extra,Medium,14.5,1.4,0,1.0,0.0,0.25,1.3,3,0,10,41,9,16.0,24.0,17.428571428571427
2025-10-10,S001,SKU_BAN02,26,0.92,1,Bananas,7,1.229369993643326,North West,Extra,Medium,16.4,2.7,0,1.0,0.0,0.25,1.3,4,0,10,41,10,17.0,15.0,18.714285714285715
2025-10-11,S001,SKU_BAN02,11,0.92,1,Bananas,7,1.229369993643326,North West,Extra,Medium,14.3,4.7,0,1.0,0.0,0.25,1.3,5,1,10,41,11,17.0,33.0,17.857142857142858
2025-10-12,S001,SKU_BAN02,22,0.92,1,Bananas,7,1.229369993643326,North West,Extra,Medium,12.8,3.9,0,1.0,0.0,0.25,1.3,6,1,10,41,12,14.0,15.0,19.0
2025-10-13,S001,SKU_BAN02,19,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,16.2,1.5,0,1.0,0.0,0.0,0.0,0,0,10,42,13,18.0,16.0,19.142857142857142
2025-10-14,S001,SKU_BAN02,20,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,15.7,0.1,0,1.0,0.0,0.0,0.0,1,0,10,42,14,24.0,21.0,18.571428571428573
2025-10-15,S001,SKU_BAN02,17,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,16.8,1.7,0,1.0,0.0,0.0,0.0,2,0,10,42,15,20.0,16.0,18.142857142857142
2025-10-16,S001,SKU_BAN02,22,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,14.0,3.6,0,1.0,0.0,0.0,0.0,3,0,10,42,16,12.0,16.0,19.571428571428573
2025-10-17,S001,SKU_BAN02,32,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,13.6,0.0,0,1.0,0.0,0.0,0.0,4,0,10,42,17,26.0,17.0,20.428571428571427
2025-10-18,S001,SKU_BAN02,22,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,11.9,3.9,0,1.0,0.0,0.0,0.0,5,1,10,42,18,11.0,17.0,22.0
2025-10-19,S001,SKU_BAN02,20,1.23,0,Bananas,7,1.229369993643326,North West,Extra,Medium,12.4,5.6,0,1.0,0.0,0.0,0.0,6,1,10,42,19,22.0,14.0,21.714285714285715
2025-09-22,S001,SKU_BAN03,19,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,14.5,0.3,0,1.0,0.0,0.0,0.0,0,0,9,39,22,,,19.0
2025-09-23,S001,SKU_BAN03,23,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,20.1,2.1,0,1.0,0.0,0.0,0.0,1,0,9,39,23,,,21.0
2025-09-24,S001,SKU_BAN03,11,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,15.0,2.0,0,1.0,0.0,0.0,0.0,2,0,9,39,24,,,17.666666666666668
2025-09-25,S001,SKU_BAN03,10,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,15.4,1.8,0,1.0,0.0,0.0,0.0,3,0,9,39,25,,,15.75
2025-09-26,S001,SKU_BAN03,15,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,13.9,1.2,0,1.0,0.0,0.0,0.0,4,0,9,39,26,,,15.6
2025-09-27,S001,SKU_BAN03,16,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,14.9,2.2,0,1.0,0.0,0.0,0.0,5,1,9,39,27,,,15.666666666666666
2025-09-28,S001,SKU_BAN03,25,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,13.6,3.2,0,1.0,0.0,0.0,0.0,6,1,9,39,28,,,17.0
2025-09-29,S001,SKU_BAN03,17,0.92,1,Bananas,7,1.22113319232162,North West,Extra,Medium,14.5,4.3,0,1.0,0.0,0.25,1.3,0,0,9,40,29,19.0,,16.714285714285715
2025-09-30,S001,SKU_BAN03,27,0.92,1,Bananas,7,1.22113319232162,North West,Extra,Medium,9.7,3.6,0,1.0,0.0,0.25,1.3,1,0,9,40,30,23.0,,17.285714285714285
2025-10-01,S001,SKU_BAN03,23,0.92,1,Bananas,7,1.22113319232162,North West,Extra,Medium,17.5,0.0,0,1.0,0.0,0.25,1.3,2,0,10,40,1,11.0,,19.0
2025-10-02,S001,SKU_BAN03,23,0.92,1,Bananas,7,1.22113319232162,North West,Extra,Medium,14.3,1.4,0,1.0,0.0,0.25,1.3,3,0,10,40,2,10.0,,20.857142857142858
2025-10-03,S001,SKU_BAN03,20,0.92,1,Bananas,7,1.22113319232162,North West,Extra,Medium,12.2,0.8,0,1.0,0.0,0.25,1.3,4,0,10,40,3,15.0,,21.571428571428573
2025-10-04,S001,SKU_BAN03,15,0.92,1,Bananas,7,1.22113319232162,North West,Extra,Medium,12.8,5.6,0,1.0,0.0,0.25,1.3,5,1,10,40,4,16.0,,21.428571428571427
2025-10-05,S001,SKU_BAN03,21,0.92,1,Bananas,7,1.22113319232162,North West,Extra,Medium,16.9,4.9,0,1.0,0.0,0.25,1.3,6,1,10,40,5,25.0,,20.857142857142858
2025-10-06,S001,SKU_BAN03,14,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,16.4,0.3,0,1.0,0.0,0.0,0.0,0,0,10,41,6,17.0,19.0,20.428571428571427
2025-10-07,S001,SKU_BAN03,17,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,14.0,2.7,0,1.0,0.0,0.0,0.0,1,0,10,41,7,27.0,23.0,19.0
2025-10-08,S001,SKU_BAN03,17,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,12.6,3.1,0,1.0,0.0,0.0,0.0,2,0,10,41,8,23.0,11.0,18.142857142857142
2025-10-09,S001,SKU_BAN03,24,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,14.5,1.4,0,1.0,0.0,0.0,0.0,3,0,10,41,9,23.0,10.0,18.285714285714285
2025-10-10,S001,SKU_BAN03,14,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,16.4,2.7,0,1.0,0.0,0.0,0.0,4,0,10,41,10,20.0,15.0,17.428571428571427
2025-10-11,S001,SKU_BAN03,19,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,14.3,4.7,0,1.0,0.0,0.0,0.0,5,1,10,41,11,15.0,16.0,18.0
2025-10-12,S001,SKU_BAN03,20,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,12.8,3.9,0,1.0,0.0,0.0,0.0,6,1,10,41,12,21.0,25.0,17.857142857142858
2025-10-13,S001,SKU_BAN03,19,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,16.2,1.5,0,1.0,0.0,0.0,0.0,0,0,10,42,13,14.0,17.0,18.571428571428573
2025-10-14,S001,SKU_BAN03,15,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,15.7,0.1,0,1.0,0.0,0.0,0.0,1,0,10,42,14,17.0,27.0,18.285714285714285
2025-10-15,S001,SKU_BAN03,16,1.22,0,Bananas,7,1.22113319232162,North West,Extra,Medium,16.8,1.7,0,1.0,0.0,0.0,0.0,2,0,10,42,15,17.0,23.0,18.142857142857142
